Boro Code,Boro Ct,CT,County,Geometry,LRS,Number of Records,Boro Code1,Boro Ct201,Boro Name,Cdeligibil,Ct2010,Ctlabel,Ntacode,Ntaname,Puma,Shape Area,Shape Leng
3,3032500,032500,Kings County,POLYGON,32.4,1,3,3032500,Brooklyn,E,032500,325,BK63,Crown Heights South,4011,1812075.2257,6293.89357889
3,3032600,032600,Kings County,POLYGON,34.5,1,3,3032600,Brooklyn,E,032600,326,BK21,Seagate-Coney Island,4018,3542642.2788,7873.1968522
3,3032700,032700,Kings County,POLYGON,27.9,1,3,3032700,Brooklyn,E,032700,327,BK60,Prospect Lefferts Gardens-Wingate,4011,1904788.31423,7322.87484947
3,3032800,032800,Kings County,POLYGON,23.8,1,3,3032800,Brooklyn,E,032800,328,BK21,Seagate-Coney Island,4018,2507368.97843,7628.20924546
3,3032900,032900,Kings County,POLYGON,29.2,1,3,3032900,Brooklyn,E,032900,329,BK60,Prospect Lefferts Gardens-Wingate,4011,1683542.61449,7138.85258845
3,3033000,033000,Kings County,POLYGON,30.4,1,3,3033000,Brooklyn,E,033000,330,BK21,Seagate-Coney Island,4018,3887711.40976,9907.85996556
3,3036001,036001,Kings County,POLYGON,15.5,1,3,3036001,Brooklyn,E,036001,360.01,BK19,Brighton Beach,4018,1019097.21606,4459.30353065
3,3036002,036002,Kings County,POLYGON,18.4,1,3,3036002,Brooklyn,E,036002,360.02,BK19,Brighton Beach,4018,924220.93178,3860.14835523
3,3036100,036100,Kings County,POLYGON,33.1,1,3,3036100,Brooklyn,E,036100,361,BK79,Ocean Hill,4007,1524420.55669,6064.69993597
3,3036200,036200,Kings County,POLYGON,26.7,1,3,3036200,Brooklyn,E,036200,362,BK19,Brighton Beach,4018,1845171.52889,6480.70701324
3,3036300,036300,Kings County,POLYGON,33.3,1,3,3036300,Brooklyn,E,036300,363,BK79,Ocean Hill,4007,2785736.31011,8445.46688322
3,3036400,036400,Kings County,POLYGON,23.3,1,3,3036400,Brooklyn,E,036400,364,BK19,Brighton Beach,4018,1539580.43799,5980.18261903
3,3034000,034000,Kings County,POLYGON,28.6,1,3,3034000,Brooklyn,I,034000,340,BK21,Seagate-Coney Island,4018,1419227.69665,7165.49794629
3,3034100,034100,Kings County,POLYGON,29.3,1,3,3034100,Brooklyn,E,034100,341,BK61,Crown Heights North,4006,1504308.07143,5030.77659892
3,3034200,034200,Kings County,POLYGON,30.7,1,3,3034200,Brooklyn,E,034200,342,BK21,Seagate-Coney Island,4018,2475181.55328,7381.41719149
3,3034300,034300,Kings County,POLYGON,33,1,3,3034300,Brooklyn,E,034300,343,BK61,Crown Heights North,4006,1745164.21497,5689.14833859
3,3034500,034500,Kings County,POLYGON,34.4,1,3,3034500,Brooklyn,E,034500,345,BK61,Crown Heights North,4006,1759937.3963,5684.44614757
3,3034700,034700,Kings County,POLYGON,35,1,3,3034700,Brooklyn,E,034700,347,BK61,Crown Heights North,4006,1505056.73892,5032.96704145
3,3034800,034800,Kings County,POLYGON,32.5,1,3,3034800,Brooklyn,I,034800,348,BK21,Seagate-Coney Island,4018,6985474.70813,18444.6969464
3,3034900,034900,Kings County,POLYGON,34.9,1,3,3034900,Brooklyn,E,034900,349,BK61,Crown Heights North,4006,1756872.7665,6098.13345718
3,3035000,035000,Kings County,POLYGON,18.3,1,3,3035000,Brooklyn,E,035000,350,BK23,West Brighton,4018,2123245.36252,5887.33951581
3,3035100,035100,Kings County,POLYGON,31.5,1,3,3035100,Brooklyn,E,035100,351,BK61,Crown Heights North,4006,1755149.80755,6101.30343363
3,3035200,035200,Kings County,POLYGON,22.8,1,3,3035200,Brooklyn,I,035200,352,BK21,Seagate-Coney Island,4018,10705565.4711,33071.7845756
3,3035300,035300,Kings County,POLYGON,31.1,1,3,3035300,Brooklyn,E,035300,353,BK61,Crown Heights North,4006,1755455.71973,6099.1468289
3,3035400,035400,Kings County,POLYGON,15.8,1,3,3035400,Brooklyn,I,035400,354,BK23,West Brighton,4018,4052038.48111,11322.5412324
3,3035500,035500,Kings County,POLYGON,33.1,1,3,3035500,Brooklyn,E,035500,355,BK63,Crown Heights South,4011,1485518.48596,5844.44214468
3,3035601,035601,Kings County,POLYGON,17.2,1,3,3035601,Brooklyn,E,035601,356.01,BK23,West Brighton,4018,719554.06302,3524.79952181
3,3035602,035602,Kings County,POLYGON,16,1,3,3035602,Brooklyn,E,035602,356.02,BK23,West Brighton,4018,1843931.18174,5704.6708447
3,3035700,035700,Kings County,POLYGON,38.9,1,3,3035700,Brooklyn,E,035700,357,BK61,Crown Heights North,4006,1967031.03999,6564.45740224
